Fecha;PM2.5(µg/m³);SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);Ni(ng/m³);NOx(µg/m³);Ozono(µg/m³);As(ng/m³);Pb(µg/m³);Cd(ng/m³)
06.03.2015;29;5;10;34;41;;48;32;;;
07.03.2015;26;6;7;28;34;3,93;37;40;0,42;0,01;0,18
08.03.2015;24;4;3;16;31;;18;58;;;
09.03.2015;35;4;9;31;39;4,06;44;41;0,7;0,01;0,22
10.03.2015;38;5;8;30;40;;41;44;;;
11.03.2015;50;5;14;40;53;;59;29;;;
12.03.2015;48;5;10;29;48;8,51;42;52;0,84;0,01;0,22
13.03.2015;42;3;2;21;43;;23;61;;;
14.03.2015;25;4;2;18;29;2,52;19;50;0,28;0,01;0,08
15.03.2015;17;5;2;15;17;;15;64;;;
16.03.2015;;3;5;20;;;26;51;;;
17.03.2015;20;5;5;19;24;1,55;25;57;0,28;0,01;0,07
18.03.2015;10;3;2;11;19;;11;71;;;
19.03.2015;17;3;2;5;29;1,68;6;90;0,42;0;0,1
20.03.2015;;3;2;6;25;;7;86;;;
21.03.2015;;3;2;9;22;1,54;10;64;0,42;0;0,04
22.03.2015;;3;2;9;9;;10;58;;;
23.03.2015;;4;2;14;24;2,64;15;60;0,28;0;0,04
24.03.2015;;4;2;10;26;;10;67;;;
31.03.2015;21;;17;33;28;;58;;;;
01.04.2015;16;;5;20;23;2,51;26;;0,28;0;0,06
02.04.2015;16;;5;26;30;;33;;;;
03.04.2015;17;;2;12;30;;14;;;;
04.04.2015;12;;2;10;20;3,06;11;;0,42;0,01;0,07
05.04.2015;11;;2;6;18;;7;;;;
06.04.2015;6;;2;7;13;1,12;8;;0,14;0;0,02
07.04.2015;10;;2;10;;;13;85;;;
08.04.2015;9;;2;11;;;13;86;;;
09.04.2015;8;;2;12;17;0,98;15;82;0,28;0;0,02
10.04.2015;12;;6;17;24;;23;74;;;
11.04.2015;16;;3;15;30;1,96;18;63;0,42;0,01;0,14
12.04.2015;18;;2;8;25;;10;80;;;
13.04.2015;16;;2;11;;;12;84;;;
14.04.2015;6;;5;20;29;3,31;27;54;0,42;0,01;0,08
15.04.2015;19;;3;24;34;;27;47;;;
16.04.2015;23;;9;23;33;2,28;36;45;0,63;0,01;0,08
17.04.2015;18;;4;20;23;;25;;;;
18.04.2015;21;;2;16;24;4,63;18;;0,55;0;0,04
19.04.2015;14;;2;6;19;;8;;;;
